word1,word2,word3,word4,group_id,freq1,freq2,freq3,freq4,freq_ratio,freq_mean,conc1,conc2,conc3,conc4,conc_ratio,conc_mean,sim_1_2,sim_1_3,sim_1_4,sim_2_3,sim_2_4,sim_3_4,mean_similarity,sd_similarity,min_similarity,max_similarity,range_similarity,outlier_word,outlier_avg_sim,most_central_word,most_central_avg_sim,outlier_gap
hero,enemy,east,mission,27,2530,2472,2359,2391,1.072488343,2438,3.07,2.83,3.04,2.9,1.084805654,2.96,0.5315712,0.22521666,0.43444195,0.3366645,0.4436415,0.2736804,0.3742027016666667,0.11569446689419861,0.22521666,0.5315712,0.30635454,word3,0.27852052,word2,0.4372924,0.12757624222222225
hotel,ball,boat,earth,28,5241,5294,4885,5058,1.083725691,5119.5,4.93,5,4.93,4.8,1.041666667,4.915,0.32201993,0.4183503,0.22037871,0.38708544,0.37735182,0.290774,0.3359933666666666,0.073089511,0.22037871,0.4183503,0.19797159,word4,0.29616817666666667,word3,0.3654032466666666,0.053100253
oxygen,temperature,movement,pattern,29,706,698,759,735,1.08739255,724.5,3.66,3.71,3.63,3.92,1.079889807,3.73,0.4555415,0.3462683,0.238267,0.34654287,0.3450591,0.44337547,0.36250904,0.079314164,0.238267,0.4555415,0.21727449999999998,word4,0.3422338566666667,word2,0.38238115666666667,0.027033577777777706
club,colonel,wedding,agent,30,4959,4859,5169,5209,1.072031282,5049,3.78,3.89,3.92,3.61,1.085872576,3.8,0.32228604,0.37411034,0.39439365,0.28908738,0.39160967,0.25566787,0.3378591583333333,0.057924141217595065,0.25566787,0.39439365,0.13872577999999997,word3,0.30628853,word1,0.3635966766666667,0.042094171111111134
letter,college,lawyer,bank,31,4209,4343,4041,4194,1.074733977,4196.75,4.7,4.62,4.7,4.78,1.034632035,4.7,0.30732873,0.37796694,0.3031124,0.38509586,0.3912985,0.41139022,0.362698775,0.045912798507977595,0.3031124,0.41139022,0.10827781999999997,word1,0.32946935666666666,word3,0.39148433999999993,0.044305891111111106
eye,road,table,paper,32,5672,5690,5365,5266,1.080516521,5498.25,4.9,4.75,4.9,4.93,1.037894737,4.87,0.33161095,0.32681343,0.29613045,0.35978496,0.2795653,0.43966433,0.33892823666666666,0.056813174,0.2795653,0.43966433,0.16009902999999998,word1,0.3181849433333333,word3,0.37542090666666666,0.027657724444444476
shower,planet,bedroom,candy,33,1918,1969,1871,1813,1.086045229,1892.75,4.89,4.58,4.9,4.83,1.069868996,4.8,0.23632105,0.5002271,0.31683046,0.2986563,0.24541883,0.2697005,0.3111923733333333,0.097546418,0.23632105,0.5002271,0.26390605,word2,0.26013206,word3,0.3561946333333334,0.068080418
bag,apartment,window,box,34,4632,4230,4378,4388,1.095035461,4407,4.9,4.9,4.86,4.9,1.008230453,4.89,0.39592198,0.40530092,0.592009,0.42464173,0.37434155,0.55707556,0.4582151233333333,0.092213323,0.37434155,0.592009,0.21766744999999998,word2,0.39830175333333334,word4,0.5078087033333333,0.079884493
heavens,stress,punishment,option,35,681,677,685,736,1.087149188,694.75,2.57,2.62,2.46,2.39,1.09623431,2.51,0.24612327,0.31518623,0.10564457,0.3765492,0.25982597,0.35256344,0.27598211333333333,0.097655365,0.10564457,0.3765492,0.27090463,word1,0.22231802333333336,word3,0.34809962333333333,0.07155212
anger,confession,request,solution,36,804,836,837,808,1.041044776,821.25,2.41,2.4,2.59,2.61,1.0875,2.5025,0.31962264,0.25280598,0.28349662,0.36669227,0.32033473,0.31070277,0.30894250166666665,0.038420787256387874,0.25280598,0.36669227,0.11388629,word1,0.2853084133333333,word2,0.33554988,0.031512118
